"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 24 09:39:46 IST 2023","Fri Feb 24 09:39:57 IST 2023","10318","","SavemartTestCases","","Savmart_scenario","","Savmart_scenario","  I want to use this template for my feature file"
"passed","Fri Feb 24 09:39:45 IST 2023","Fri Feb 24 09:39:57 IST 2023","11667","Default suite","Default test","com.scripted.runners.SaveMartRunner","com.scripted.runners.SaveMartRunner","runScenario","Runs Cucumber Scenarios",""
